Reward,Step
342.34554455445533,3000
1454.528293489807,6000
973.4507837878806,9000
399.00000000000006,12000
399.00000000000006,15000
1277.194377208785,18000
1485.71112184647,21000
399.00000000000006,24000
399.00000000000006,27000
533.5524383327546,30000
1038.7503359240395,33000
1027.1644490189312,36000
1039.0854532128124,39000
620.589108910891,42000
584.1247336980805,45000
632.1369124888254,48000
399.3,51000
205.83465346534652,54000
683.0873762376237,57000
1470.2385789253083,60000
1098.049583645356,63000
1073.9414160577298,66000
1210.3124215171329,69000
371.7933460326438,72000
343.0546650335166,75000
322.5996190317061,78000
1393.0383361209267,81000
342.89773753405103,84000
1407.99475404716,87000
1524.1522951524776,90000
1416.2475412203014,93000
1466.0828140216402,96000
1131.903079695557,99000
