Wall time,Step,Value
1713019152.000298,3000,1584.68603515625
1713019246.6007664,6000,1583.7034912109375
1713019342.6503606,9000,1588.4288330078125
1713019440.6665618,12000,1538.876708984375
1713019538.135253,15000,1535.451416015625
1713019632.9796088,18000,1591.0880126953125
1713019728.1944776,21000,1621.80712890625
1713019823.3251104,24000,1618.360107421875
1713019916.7014658,27000,1629.0360107421875
1713020010.9422581,30000,1624.1778564453125
1713020103.9632068,33000,1628.712646484375
1713020196.291544,36000,1664.6455078125
1713020289.4177551,39000,1710.3824462890625
1713020382.475381,42000,1689.4381103515625
1713020474.4924033,45000,1700.009521484375
1713020567.8370986,48000,1704.7066650390625
1713020661.150126,51000,1693.7960205078125
1713020753.5417194,54000,1704.0938720703125
1713020846.2879462,57000,1713.9976806640625
1713020938.9706297,60000,1732.849365234375
1713021032.4480562,63000,1741.9190673828125
1713021126.039902,66000,1741.3863525390625
1713021220.1845014,69000,1741.46240234375
1713021314.1434975,72000,1742.142333984375
1713021407.9289737,75000,1734.712646484375
1713021500.8597097,78000,1728.7960205078125
1713021593.3641074,81000,1711.532470703125
1713021685.7465918,84000,1701.7581787109375
1713021778.4404163,87000,1711.6082763671875
1713021871.1890156,90000,1735.8231201171875
1713021963.0888877,93000,1744.4600830078125
1713022056.7072353,96000,1743.218017578125
1713022150.7211459,99000,1743.5128173828125
1713022244.1582732,102000,1740.912353515625
