Step,Value
0,1073.4486083984375
500,1090.012451171875
1000,1082.505126953125
1500,1146.330810546875
2000,1127.3817138671875
2500,1171.248291015625
3000,1209.9779052734375
3500,1248.269775390625
4000,1266.9573974609375
4500,1295.951171875
5000,1319.466064453125
5500,1346.951904296875
6000,1370.9982299804688
6500,1429.7544555664062
7000,1463.6090087890625
7500,1499.42822265625
8000,1520.9503784179688
8500,1563.1246948242188
9000,1608.0623779296875
9500,1626.2733764648438
10000,1656.3499145507812
10500,1661.2884521484375
11000,1683.9910888671875
11500,1703.4367065429688
12000,1711.4793701171875
12500,1718.9718017578125
13000,1724.9434814453125
13500,1730.4478759765625
14000,1724.9882202148438
14500,1728.925537109375
15000,1739.87744140625
15500,1741.0753173828125
16000,1727.987060546875
16500,1728.2723999023438
17000,1727.387939453125
17500,1721.9278564453125
18000,1722.1544189453125
18500,1722.7579345703125
19000,1722.931396484375
19500,1722.0802001953125
20000,1721.0349731445312
20500,1721.0643310546875
21000,1727.5665893554688
21500,1739.68994140625
22000,1737.5608520507812
22500,1729.8936767578125
23000,1737.8327026367188
23500,1730.1329345703125
24000,1725.0427856445312
24500,1723.9241943359375
25000,1722.1355590820312
25500,1714.3255615234375
26000,1713.892333984375
26500,1713.9678955078125
27000,1707.7039794921875
27500,1690.6846923828125
28000,1690.7698974609375
28500,1685.5902099609375
29000,1680.137451171875
29500,1690.1116943359375
30000,1684.4616088867188
30500,1694.4236450195312
31000,1694.9788818359375
31500,1696.498291015625
32000,1699.847412109375
32500,1703.648193359375
33000,1696.3232421875
33500,1657.9425659179688
34000,1658.770751953125
34500,1671.974365234375
35000,1672.3583984375
35500,1677.9998168945312
36000,1683.3353271484375
36500,1677.4505615234375
37000,1677.9992065429688
37500,1671.3338623046875
38000,1656.24853515625
38500,1656.3267822265625
39000,1660.7498168945312
39500,1664.6393432617188
40000,1672.311767578125
40500,1698.6695556640625
41000,1723.2478637695312
41500,1718.7427978515625
42000,1698.6015625
42500,1682.8584594726562
43000,1672.4340209960938
43500,1672.7119140625
44000,1677.7499389648438
44500,1689.8200073242188
45000,1709.8692626953125
45500,1704.38330078125
46000,1693.7353515625
46500,1671.3583984375
47000,1651.2653198242188
47500,1639.7996215820312
48000,1632.830810546875
48500,1629.936767578125
49000,1638.3994140625
49500,1648.7123413085938
50000,1664.287109375
50500,1669.1707763671875
51000,1669.4990844726562
51500,1669.5584716796875
52000,1667.853271484375
52500,1676.1304931640625
53000,1681.3482666015625
53500,1703.9246215820312
54000,1719.94189453125
54500,1727.0982666015625
55000,1741.545166015625
55500,1742.5017700195312
56000,1747.295654296875
56500,1748.1817626953125
57000,1734.779052734375
57500,1735.6826782226562
58000,1734.6646728515625
58500,1734.4241943359375
59000,1736.1409301757812
59500,1737.6787109375
60000,1739.9049072265625
60500,1739.7607421875
61000,1739.7816772460938
61500,1740.6953125
62000,1740.8118286132812
62500,1741.6372680664062
63000,1747.0260009765625
63500,1757.2724609375
64000,1764.2530517578125
64500,1768.694580078125
65000,1761.228271484375
65500,1754.7656860351562
66000,1754.4442749023438
66500,1754.2498779296875
67000,1754.1314086914062
67500,1754.2158203125
68000,1754.0709228515625
68500,1753.8797607421875
69000,1754.1111450195312
69500,1748.953369140625
70000,1742.742919921875
70500,1742.8479614257812
71000,1742.8069458007812
71500,1743.5647583007812
72000,1744.7825927734375
72500,1752.2362060546875
73000,1745.117919921875
73500,1744.7872924804688
74000,1743.6407470703125
74500,1743.5657348632812
75000,1743.534912109375
75500,1743.566162109375
76000,1743.646728515625
76500,1743.3984985351562
77000,1739.6076049804688
77500,1740.017822265625
78000,1739.8351440429688
78500,1740.14599609375
79000,1740.553955078125
79500,1740.6551513671875
80000,1753.0602416992188
80500,1751.6098022460938
81000,1751.707763671875
81500,1747.1578369140625
82000,1734.5504150390625
82500,1727.607421875
83000,1727.6978759765625
83500,1727.6841430664062
84000,1735.0527954101562
84500,1742.4273681640625
85000,1731.6723225911458
85500,1719.23779296875
86000,1719.1569213867188
86500,1718.7227172851562
87000,1709.8431396484375
87500,1711.0534057617188
88000,1710.9979858398438
88500,1716.7130126953125
89000,1722.149169921875
89500,1736.1336669921875
90000,1736.1157836914062
90500,1736.1417236328125
91000,1736.4822387695312
91500,1736.52197265625
92000,1736.4844970703125
92500,1745.2960815429688
93000,1744.5799560546875
93500,1744.7854614257812
94000,1749.2442016601562
94500,1755.496337890625
95000,1755.754150390625
95500,1755.935302734375
96000,1755.950439453125
96500,1756.0594482421875
97000,1756.3473510742188
97500,1756.4002685546875
98000,1756.6914672851562
98500,1754.2615966796875
99000,1754.7349243164062
99500,1754.9476318359375
