Step,Value
0,1664.6380615234375
500,1391.1923828125
1000,1389.6995849609375
1500,1304.4512125651042
2000,1290.8538818359375
2500,1322.07177734375
3000,1307.3114013671875
3500,1292.901611328125
4000,1319.7801513671875
4500,1326.7750854492188
5000,1341.1624145507812
5500,1360.0597534179688
6000,1363.1571044921875
6500,1349.0546875
7000,1368.8516845703125
7500,1370.6536865234375
8000,1395.6063842773438
8500,1425.1749267578125
9000,1444.8109741210938
9500,1455.726318359375
10000,1477.988525390625
10500,1518.7811889648438
11000,1528.0660400390625
11500,1544.2306518554688
12000,1567.3609619140625
12500,1575.2772827148438
13000,1588.8780517578125
13500,1603.337890625
14000,1629.9942016601562
14500,1639.276123046875
15000,1657.812255859375
15500,1667.8607177734375
16000,1673.5283203125
16500,1671.3053588867188
17000,1664.1363525390625
17500,1677.5653076171875
18000,1675.1980590820312
18500,1676.3038330078125
19000,1669.4859008789062
19500,1670.85693359375
20000,1674.7084350585938
20500,1673.4957275390625
21000,1671.5626220703125
21500,1672.5924682617188
22000,1673.3797607421875
22500,1675.8479614257812
23000,1678.319091796875
23500,1691.24951171875
24000,1692.970458984375
24500,1691.80419921875
25000,1693.0167236328125
25500,1691.4263916015625
26000,1683.1458129882812
26500,1682.2749633789062
27000,1684.822265625
27500,1678.8086547851562
28000,1668.255126953125
28500,1666.2353515625
29000,1659.5696411132812
29500,1646.5255126953125
30000,1637.4212646484375
30500,1635.3409423828125
31000,1631.5333251953125
31500,1616.6537475585938
32000,1618.2626342773438
32500,1620.837158203125
33000,1622.4674072265625
33500,1626.626220703125
34000,1626.7553100585938
34500,1618.3612670898438
35000,1611.8764038085938
35500,1615.6507568359375
36000,1617.3378295898438
36500,1616.8704833984375
37000,1607.85888671875
37500,1599.66796875
38000,1594.4071044921875
38500,1592.9818115234375
39000,1592.4279174804688
39500,1582.2365112304688
40000,1580.7150268554688
40500,1576.595947265625
41000,1577.922119140625
41500,1584.2113037109375
42000,1588.3256225585938
42500,1583.9387817382812
43000,1577.4854736328125
43500,1575.0842895507812
44000,1560.904296875
44500,1554.955078125
45000,1553.4898071289062
45500,1539.8319702148438
46000,1535.76220703125
46500,1547.292724609375
47000,1524.8561401367188
47500,1524.9029541015625
48000,1528.00732421875
48500,1528.0684814453125
49000,1521.123046875
49500,1517.4337158203125
50000,1515.7227172851562
50500,1510.5964965820312
51000,1508.9464111328125
51500,1540.97802734375
52000,1562.7908325195312
52500,1548.9954223632812
53000,1570.833984375
53500,1566.1384887695312
54000,1580.3646240234375
54500,1588.5782470703125
55000,1583.1171264648438
55500,1574.2512817382812
56000,1568.043701171875
56500,1561.56689453125
57000,1550.8775024414062
57500,1562.369140625
58000,1556.38037109375
58500,1564.84814453125
59000,1560.2793579101562
59500,1559.290771484375
60000,1576.8689575195312
60500,1574.2183837890625
61000,1581.797607421875
61500,1587.5287475585938
62000,1577.2469482421875
62500,1590.1754150390625
63000,1590.5121459960938
63500,1588.853759765625
64000,1588.520263671875
64500,1607.2591552734375
65000,1613.8593139648438
65500,1614.603515625
66000,1600.7635091145833
66500,1599.068115234375
67000,1600.3128662109375
67500,1587.5238647460938
68000,1581.39306640625
68500,1584.887939453125
69000,1577.3539428710938
69500,1572.0760498046875
70000,1562.5779418945312
70500,1561.731689453125
71000,1572.0829467773438
71500,1565.9249267578125
72000,1549.0454711914062
72500,1543.2630615234375
73000,1551.3902587890625
73500,1551.2549438476562
74000,1531.46875
74500,1538.559326171875
75000,1552.2918701171875
75500,1551.326416015625
76000,1554.4287719726562
76500,1564.7680053710938
77000,1556.370849609375
77500,1562.0787353515625
78000,1542.5812174479167
78500,1521.2537841796875
79000,1528.5484619140625
79500,1546.1846313476562
80000,1525.8881225585938
80500,1505.03515625
81000,1503.4579467773438
81500,1489.7872314453125
82000,1474.1063842773438
82500,1458.2097778320312
83000,1470.7098388671875
83500,1480.323974609375
84000,1486.28759765625
84500,1498.4638061523438
85000,1519.6467895507812
85500,1488.5972290039062
86000,1472.0889892578125
86500,1482.3851928710938
87000,1510.076171875
87500,1509.5659790039062
88000,1532.4627685546875
88500,1540.5135498046875
89000,1550.26953125
89500,1547.171875
90000,1524.8329467773438
90500,1524.4762573242188
91000,1516.7105102539062
91500,1513.0850830078125
92000,1527.154052734375
92500,1548.1292114257812
93000,1550.8305053710938
93500,1552.8597412109375
94000,1551.0955200195312
94500,1529.1761474609375
95000,1512.0510864257812
95500,1473.6170654296875
96000,1489.6603393554688
96500,1497.3169555664062
97000,1483.3284912109375
97500,1470.3660278320312
98000,1466.552734375
98500,1486.9939575195312
99000,1494.4052734375
99500,1510.7376708984375
