mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts
1905.637160906867,0.0,0.0,161.0,ours,2,4
1674.21646508596,2.2737367544323206e-13,0.0,185.0,coop,2,4
1541.197729623417,0.0,0.0,201.0,plexe,2,4
1899.8682430652548,2.2737367544323206e-13,0.0,160.0,ours,3,4
1674.21646508596,2.2737367544323206e-13,0.0,185.0,coop,3,4
1541.197729623417,0.0,0.0,201.0,plexe,3,4
1924.9971634482094,0.0,0.0,158.0,ours,4,4
1674.21646508596,2.2737367544323206e-13,0.0,185.0,coop,4,4
1541.197729623417,0.0,0.0,201.0,plexe,4,4
