Reward,Step
399.00000000000006,3000
400.0500000000001,6000
342.56525329751383,9000
474.455115511551,12000
694.1524752475246,15000
298.75544554455445,18000
978.7652646242967,21000
678.892052969281,24000
673.2953328967188,27000
607.8190594059405,30000
1093.3793185701509,33000
928.5580738371991,36000
595.0203292566738,39000
261.84478416476753,42000
399.3000000000001,45000
991.8666377126351,48000
1055.5635259614014,51000
382.45206367039606,54000
1512.152606030768,57000
314.30420792079207,60000
154.7006462208227,63000
1278.862272178709,66000
142.24797331313897,69000
1168.506373892691,72000
1520.6049322681627,75000
650.0936599818016,78000
1442.2850553039882,81000
180.48309779507653,84000
1386.7778696713574,87000
1438.844090200341,90000
123.86901437955332,93000
1482.5718058076352,96000
164.48111962154945,99000
