Wall time,Step,Value
1712965724.8588862,3000,1601.908203125
1712965804.7159843,6000,1577.363037109375
1712965883.2207773,9000,1563.4071044921875
1712965961.8922975,12000,1582.2216796875
1712966041.2972467,15000,1552.0155029296875
1712966119.9060404,18000,1528.798828125
1712966198.9059594,21000,1499.056396484375
1712966277.6135166,24000,1558.440673828125
1712966355.0322285,27000,1598.385009765625
1712966432.9550307,30000,1672.7235107421875
1712966510.931694,33000,1703.2618408203125
1712966589.0204594,36000,1678.55859375
1712966667.3220477,39000,1672.6397705078125
1712966745.8247268,42000,1678.5970458984375
1712966823.569549,45000,1713.9625244140625
1712966901.409317,48000,1694.338134765625
1712966978.810932,51000,1674.8397216796875
1712967056.6375988,54000,1692.4605712890625
1712967136.3076332,57000,1703.8560791015625
1712967214.4021976,60000,1716.84765625
1712967292.5480402,63000,1706.419677734375
1712967371.0922465,66000,1690.0450439453125
1712967449.6097565,69000,1708.8985595703125
1712967528.0908499,72000,1693.29296875
1712967606.9176183,75000,1665.7005615234375
1712967685.683126,78000,1644.563720703125
1712967764.455202,81000,1689.5277099609375
1712967842.848763,84000,1709.097412109375
1712967921.395975,87000,1732.16455078125
1712968000.2600975,90000,1720.679443359375
1712968078.7163332,93000,1724.9267578125
1712968156.5555818,96000,1735.2774658203125
1712968234.9718018,99000,1762.7891845703125
1712968314.228812,102000,1737.8873291015625
