mean_reward,Hdv_intervals,Lane_counts,Model_types
1382.760993241968,2,2,NoisyNet-MADQN
1281.882555518877,3,2,NoisyNet-MADQN
1316.0577944093175,4,2,NoisyNet-MADQN
1243.3784899298714,2,3,NoisyNet-MADQN
1431.7924303183993,3,3,NoisyNet-MADQN
1448.862907365227,4,3,NoisyNet-MADQN
1393.579035056426,2,4,NoisyNet-MADQN
1488.6949840192992,3,4,NoisyNet-MADQN
1488.5606805572609,4,4,NoisyNet-MADQN
