mean_reward,Hdv_intervals,Lane_counts,Model_types
1301.250890059159,2,2,NoisyNet-MADQN
1360.8760630878057,3,2,NoisyNet-MADQN
1431.78074174255,4,2,NoisyNet-MADQN
1203.3746322343743,2,3,NoisyNet-MADQN
1298.5864870091082,3,3,NoisyNet-MADQN
1454.5537103275099,4,3,NoisyNet-MADQN
1482.2444280608854,2,4,NoisyNet-MADQN
1420.192134834662,3,4,NoisyNet-MADQN
1488.6937396875508,4,4,NoisyNet-MADQN
