Wall time,Step,Value
1715338939.0764604,3000,890.430419921875
1715339103.7640975,6000,873.7884521484375
1715339261.6900601,9000,950.8002319335938
1715339414.137929,12000,1047.222412109375
1715339560.3224404,15000,1173.314697265625
1715339702.951089,18000,1335.38623046875
1715339846.6369338,21000,1410.6458740234375
1715339989.0616705,24000,1483.4937744140625
1715340135.190816,27000,1517.8095703125
1715340280.705896,30000,1572.4161376953125
1715340424.6617181,33000,1599.235107421875
1715340571.428078,36000,1578.3463134765625
1715340716.7659073,39000,1544.21728515625
1715340860.3895092,42000,1549.1690673828125
1715341007.5282226,45000,1580.9085693359375
1715341154.5861845,48000,1560.6121826171875
1715341300.7012095,51000,1520.1865234375
1715341448.6597602,54000,1509.15966796875
1715341595.8715093,57000,1519.8309326171875
1715341741.4043193,60000,1522.34619140625
1715341883.5762331,63000,1555.928466796875
1715342025.8162565,66000,1542.6422119140625
1715342171.1912978,69000,1521.366455078125
1715342316.2238007,72000,1503.3790283203125
1715342464.5884168,75000,1499.39892578125
1715342612.6101856,78000,1472.313232421875
1715342758.0906866,81000,1478.8326416015625
1715342903.4494984,84000,1498.7646484375
1715343047.8438797,87000,1554.5596923828125
1715343193.0594175,90000,1581.7127685546875
1715343336.9407432,93000,1613.701416015625
1715343482.3084872,96000,1618.7672119140625
1715343626.8910697,99000,1623.04345703125
1715343771.547761,102000,1623.0400390625
