Wall time,Step,Value
1715338871.7191305,3000,691.4419555664062
1715339013.889589,6000,857.7366943359375
1715339143.7175486,9000,1067.958984375
1715339266.8756945,12000,1343.251708984375
1715339388.6633477,15000,1452.0186767578125
1715339506.9684613,18000,1603.883544921875
1715339626.9281588,21000,1618.10009765625
1715339746.6869662,24000,1657.1575927734375
1715339864.0628943,27000,1651.8065185546875
1715339985.9159806,30000,1669.80615234375
1715340109.8668995,33000,1677.552978515625
1715340232.8924894,36000,1680.9312744140625
1715340357.2486796,39000,1656.798583984375
1715340483.0846548,42000,1626.927001953125
1715340607.4118228,45000,1610.400634765625
1715340729.4435725,48000,1628.336669921875
1715340857.5617254,51000,1577.7408447265625
1715340988.5778644,54000,1476.173095703125
1715341112.337916,57000,1493.5706787109375
1715341237.1470468,60000,1573.989990234375
1715341365.5859468,63000,1549.950927734375
1715341504.5210862,66000,1306.219970703125
1715341639.726691,69000,1230.3514404296875
1715341770.1319811,72000,1293.822021484375
1715341895.6798794,75000,1374.880859375
1715342025.5252187,78000,1387.1053466796875
1715342166.90725,81000,1195.3253173828125
1715342301.7880769,84000,1209.84130859375
1715342434.2883563,87000,1303.8123779296875
1715342576.269985,90000,1260.786865234375
1715342715.545794,93000,1232.345703125
1715342860.0770452,96000,1160.0068359375
1715343000.7110324,99000,1154.97705078125
1715343136.798176,102000,1286.870849609375
