Wall time,Step,Value
1712952641.890908,500,1540.5726318359375
1712952654.3021955,1000,1509.4130859375
1712952666.6864715,1500,1564.2408447265625
1712952678.7775238,2000,1601.066162109375
1712952691.025856,2500,1593.8018798828125
1712952702.996366,3000,1615.838623046875
1712952715.076928,3500,1631.391845703125
1712952727.3963583,4000,1642.247802734375
1712952739.3773253,4500,1649.253173828125
1712952751.3108609,5000,1655.57177734375
1712952763.248516,5500,1661.781982421875
1712952775.641361,6000,1667.8323974609375
1712952787.9932106,6500,1661.0870361328125
1712952799.94515,7000,1664.689208984375
1712952811.9585977,7500,1667.669921875
1712952824.316373,8000,1680.201171875
1712952836.288157,8500,1683.966064453125
1712952848.2445514,9000,1696.68115234375
1712952860.6162815,9500,1690.0093994140625
1712952872.6119025,10000,1688.1846923828125
1712952884.9014778,10500,1689.77783203125
1712952896.8802717,11000,1686.73779296875
1712952908.841461,11500,1681.8392333984375
1712952921.2833822,12000,1681.6943359375
1712952933.2252462,12500,1681.7933349609375
1712952945.154743,13000,1681.51025390625
1712952957.1607254,13500,1679.19140625
1712952969.1422768,14000,1687.3892822265625
1712952981.2064157,14500,1688.05517578125
1712952993.730935,15000,1683.981201171875
1712953005.7989879,15500,1683.82177734375
1712953017.825153,16000,1683.16845703125
1712953029.7747645,16500,1683.6297607421875
1712953042.173352,17000,1683.734130859375
1712953054.151406,17500,1690.0596923828125
1712953066.0531485,18000,1689.8037109375
1712953077.9865825,18500,1699.417236328125
1712953089.9403267,19000,1700.9993896484375
1712953101.8926342,19500,1700.2261962890625
1712953114.2046998,20000,1704.7432861328125
1712953126.155508,20500,1704.644287109375
1712953138.0531347,21000,1704.545166015625
1712953149.9845934,21500,1704.5029296875
1712953162.0580328,22000,1704.5029296875
1712953174.0232615,22500,1704.2275390625
1712953186.0027573,23000,1707.8724365234375
1712953197.9871688,23500,1708.39794921875
1712953210.29551,24000,1705.691650390625
1712953222.2707474,24500,1705.712158203125
1712953234.2198527,25000,1704.78857421875
1712953246.241635,25500,1704.2852783203125
1712953258.1654217,26000,1704.3843994140625
1712953270.5381598,26500,1704.453369140625
1712953282.484005,27000,1704.3790283203125
1712953294.4544735,27500,1704.4193115234375
1712953307.0335026,28000,1695.873046875
1712953318.9726415,28500,1695.97216796875
1712953330.8755422,29000,1695.97216796875
1712953342.7761865,29500,1695.97216796875
1712953354.7548902,30000,1695.97216796875
1712953366.689575,30500,1695.97216796875
1712953378.6203718,31000,1695.97216796875
1712953390.5777886,31500,1696.0679931640625
1712953402.693106,32000,1698.6944580078125
1712953414.9860244,32500,1694.7420654296875
1712953426.9177096,33000,1694.79150390625
1712953438.9118748,33500,1698.79248046875
1712953450.9491587,34000,1698.779052734375
1712953462.9207711,34500,1698.6864013671875
1712953474.9382813,35000,1698.8380126953125
1712953487.293724,35500,1698.83984375
1712953499.3046603,36000,1699.139404296875
1712953511.2435083,36500,1707.726318359375
1712953523.1911676,37000,1707.728271484375
1712953535.1128151,37500,1707.728271484375
1712953547.0713305,38000,1707.728271484375
1712953559.0827894,38500,1707.728271484375
1712953571.0159721,39000,1707.728271484375
1712953583.0244122,39500,1707.4287109375
1712953595.4490094,40000,1707.5093994140625
1712953607.4554121,40500,1711.4935302734375
1712953619.434576,41000,1711.4935302734375
1712953631.3808753,41500,1712.01416015625
1712953643.4805584,42000,1713.375244140625
1712953655.8291295,42500,1713.467529296875
1712953667.830384,43000,1713.31591796875
1712953679.8470092,43500,1713.3231201171875
1712953691.733631,44000,1713.0235595703125
1712953703.6850994,44500,1713.0235595703125
1712953715.5684655,45000,1712.775634765625
1712953727.3955276,45500,1712.775634765625
1712953739.3453474,46000,1712.775634765625
1712953751.2278106,46500,1712.742431640625
1712953763.628368,47000,1712.714599609375
1712953775.5209484,47500,1712.714599609375
1712953787.515007,48000,1715.5560302734375
1712953799.4458482,48500,1715.2457275390625
1712953811.3270547,49000,1715.246826171875
1712953823.92916,49500,1714.9427490234375
1712953835.8038168,50000,1713.2685546875
1712953847.7713723,50500,1713.8365478515625
1712953859.7389264,51000,1713.7596435546875
1712953872.1872888,51500,1705.393798828125
1712953884.2247834,52000,1708.0731201171875
1712953896.6756303,52500,1706.2301025390625
1712953908.6611066,53000,1703.3704833984375
1712953920.6201808,53500,1704.7757568359375
1712953932.61109,54000,1705.520263671875
1712953945.0104742,54500,1705.724853515625
1712953956.9566135,55000,1705.85986328125
1712953968.940449,55500,1706.07470703125
1712953980.9560266,56000,1703.2642822265625
1712953993.3994093,56500,1703.8907470703125
1712954005.3974185,57000,1703.7548828125
1712954017.384958,57500,1703.7774658203125
1712954029.3939605,58000,1699.380615234375
1712954041.302737,58500,1698.812744140625
1712954053.6306143,59000,1698.30078125
1712954065.5257392,59500,1707.1881103515625
1712954077.5308864,60000,1704.7696533203125
1712954089.5575843,60500,1706.552001953125
1712954101.5630736,61000,1706.8380126953125
1712954113.504646,61500,1705.41943359375
1712954125.9074094,62000,1704.8475341796875
1712954137.9051368,62500,1701.833251953125
1712954149.9221053,63000,1701.9542236328125
1712954161.910318,63500,1702.051513671875
1712954174.2383852,64000,1697.5709228515625
1712954186.2862496,64500,1697.3748779296875
1712954198.2923496,65000,1694.9322509765625
1712954210.7435348,65500,1679.7027587890625
1712954222.8061068,66000,1684.133544921875
1712954234.881459,66500,1683.9473876953125
1712954247.016793,67000,1683.2811279296875
1712954259.0474856,67500,1681.80859375
1712954271.4457955,68000,1669.7855224609375
1712954283.4386017,68500,1669.057373046875
1712954295.3404446,69000,1671.5775146484375
1712954307.7432363,69500,1671.77392578125
1712954320.142238,70000,1660.3865966796875
1712954332.1838808,70500,1663.490478515625
1712954344.0916042,71000,1663.184326171875
1712954355.9905756,71500,1663.1673583984375
1712954368.0489185,72000,1667.48193359375
1712954380.47415,72500,1665.0888671875
1712954392.4416862,73000,1666.5106201171875
1712954404.4417849,73500,1681.5594482421875
1712954416.4363167,74000,1681.8680419921875
1712954428.5263045,74500,1682.2401123046875
1712954440.5653925,75000,1682.3536376953125
1712954453.1312797,75500,1683.966064453125
1712954465.4749148,76000,1666.3045654296875
1712954478.0718153,76500,1667.3648681640625
1712954490.0688775,77000,1667.7744140625
1712954502.1168466,77500,1679.295654296875
1712954514.5697682,78000,1679.8089599609375
1712954526.5600843,78500,1680.2440185546875
1712954538.751372,79000,1680.835693359375
1712954551.0231302,79500,1680.7286376953125
1712954563.6306615,80000,1681.2845458984375
1712954575.9824255,80500,1684.9432373046875
1712954588.342418,81000,1685.477783203125
1712954601.030539,81500,1685.8546142578125
1712954613.1203914,82000,1686.2569580078125
1712954625.2490215,82500,1687.0528564453125
1712954637.673658,83000,1687.91943359375
1712954649.6437678,83500,1702.851318359375
1712954661.7654781,84000,1718.127685546875
1712954674.310235,84500,1718.37060546875
1712954686.3336313,85000,1718.5062255859375
1712954698.426702,85500,1718.6416015625
1712954710.9189959,86000,1718.664306640625
1712954723.188691,86500,1718.6683349609375
1712954735.638997,87000,1718.6729736328125
1712954748.158539,87500,1719.118896484375
1712954760.3292668,88000,1719.2161865234375
1712954772.3331957,88500,1718.9356689453125
1712954784.392821,89000,1718.8916015625
1712954796.8601751,89500,1718.9915771484375
1712954808.8736844,90000,1718.9876708984375
1712954821.0535114,90500,1718.9923095703125
1712954833.6056888,91000,1718.994384765625
1712954846.0196877,91500,1716.92919921875
1712954858.67777,92000,1713.47216796875
1712954870.895632,92500,1713.4742431640625
1712954883.1651368,93000,1713.4742431640625
1712954895.6516166,93500,1713.4742431640625
1712954907.7890832,94000,1713.4742431640625
1712954919.848087,94500,1713.469482421875
1712954932.330573,95000,1713.4620361328125
1712954944.3855293,95500,1713.4620361328125
1712954956.4045107,96000,1713.4666748046875
1712954968.8475122,96500,1713.751953125
1712954980.9017339,97000,1713.9923095703125
1712954992.9572248,97500,1713.75732421875
1712955005.3323774,98000,1713.75927734375
1712955017.3470283,98500,1713.6612548828125
1712955029.3730907,99000,1713.6612548828125
1712955041.7900732,99500,1719.424072265625
1712955053.8583682,100000,1719.322021484375
