Wall time,Step,Value
1716550038.8073575,3000,1342.7281494140625
1716550241.689692,6000,1326.125244140625
1716550435.7304127,9000,1418.4146728515625
1716550635.956082,12000,1515.9722900390625
1716550833.2268198,15000,1506.13525390625
1716551031.2404613,18000,1538.6123046875
1716551228.475567,21000,1586.281982421875
1716551425.7830644,24000,1601.18603515625
1716551619.7969553,27000,1632.2406005859375
1716551821.1951835,30000,1685.5885009765625
1716552017.763016,33000,1747.755126953125
1716552214.596915,36000,1797.0853271484375
1716552414.8857303,39000,1814.5614013671875
1716552606.6357753,42000,1816.1527099609375
1716552802.1384354,45000,1812.2698974609375
1716553001.5574124,48000,1817.3248291015625
1716553194.5398505,51000,1814.3255615234375
1716553388.568437,54000,1806.4132080078125
1716553582.1860332,57000,1810.2313232421875
1716553770.768558,60000,1808.234619140625
1716553963.322861,63000,1830.0501708984375
1716554154.4654503,66000,1850.4866943359375
1716554348.9087036,69000,1836.5997314453125
1716554543.1925833,72000,1836.40576171875
1716554737.1760168,75000,1761.956298828125
1716554925.9121118,78000,1737.0098876953125
1716555111.7808368,81000,1788.1080322265625
1716555305.1655111,84000,1756.6246337890625
1716555499.5923736,87000,1764.54833984375
1716555691.23222,90000,1831.8204345703125
1716555884.5405595,93000,1866.460205078125
1716556068.591221,96000,1820.2586669921875
1716556255.6320243,99000,1778.6212158203125
1716556444.9622793,102000,1806.15869140625
