Value,Step
354.7217822,3000
399.35,6000
251.850495,9000
283.5029703,12000
312.2455446,15000
281.4180693,18000
232.9027228,21000
632.6088832,24000
1169.899857,27000
1327.085763,30000
149.588519,33000
1274.765852,36000
244.0617275,39000
210.7097342,42000
356.6751294,45000
376.744353,48000
1464.66934,51000
433.6526871,54000
628.0188697,57000
1518.14574,60000
457.6295504,63000
1492.6937,66000
1032.639747,69000
1392.711486,72000
907.8411794,75000
712.0277627,78000
1476.664036,81000
124.4505209,84000
176.9539625,87000
233.328173,90000
1075.778524,93000
1563.647884,96000
1520.123728,99000
