Wall time,Step,Value
1715585471.2426426,88,424.056640625
1715585477.4148507,271,651.9199829101562
1715585483.8729792,494,832.5872802734375
1715585488.4056764,571,720.6109619140625
1715585493.1800277,670,668.956298828125
1715585497.8404608,765,637.79296875
1715585505.5417106,1033,743.8851318359375
1715585511.4882395,1200,759.18408203125
1715585517.2110653,1350,759.744873046875
1715585524.1864696,1565,799.3284301757812
1715585530.4666774,1754,811.3866577148438
1715585536.076231,1898,804.3934936523438
1715585541.091762,2012,789.013671875
1715585548.5323234,2251,823.0671997070312
1715585556.4023461,2514,858.7449951171875
1715585561.602817,2629,841.1637573242188
1715585569.2567842,2880,867.5944213867188
1715585577.2117126,3146,896.0684204101562
1715585581.4295382,3214,865.3095092773438
1715585588.3762798,3426,877.123779296875
1715585595.9777236,3667,893.5867919921875
1715585602.3502111,3845,894.09423828125
1715585608.8962555,4032,896.3239135742188
1715585616.2200723,4261,910.1146850585938
1715585622.7511876,4450,913.9708862304688
1715585628.686694,4603,929.8427734375
1715585634.5859087,4758,929.4165649414062
1715585640.9914043,4936,920.266845703125
1715585648.2702417,5159,953.7957153320312
1715585654.5309637,5327,973.9442138671875
1715585660.8260043,5494,992.2704467773438
1715585667.6977408,5697,982.6954956054688
1715585673.9235125,5867,986.2255859375
1715585680.7846422,6071,1001.045654296875
1715585687.4534357,6267,998.6931762695312
1715585693.890798,6444,1000.3846435546875
1715585700.096584,6610,1006.9652099609375
1715585706.2351823,6769,1018.2015991210938
1715585712.4325638,6937,1004.0170288085938
1715585720.0676358,7170,999.3009643554688
1715585726.1410694,7321,1011.0081787109375
1715585731.405794,7437,988.890380859375
1715585736.7355645,7556,960.9397583007812
1715585742.804209,7711,982.952880859375
1715585748.2456722,7840,970.5586547851562
1715585755.1639278,8035,964.5394287109375
1715585760.3844395,8149,956.083740234375
1715585767.2519841,8342,961.1643676757812
1715585773.6143794,8514,949.8993530273438
1715585778.841,8629,938.6149291992188
1715585785.437316,8822,947.56298828125
1715585790.3142862,8923,939.27490234375
1715585795.6561868,9045,929.7250366210938
1715585801.8088956,9206,914.9630737304688
1715585807.5315716,9336,905.0149536132812
1715585814.102563,9517,907.0850219726562
1715585820.68603,9704,900.669189453125
1715585826.6123934,9849,895.0364990234375
1715585831.5877385,9949,874.5172729492188
1715585837.6847231,10101,865.506591796875
1715585843.22901,10232,857.7041625976562
1715585851.6095824,10515,878.9745483398438
1715585857.8289878,10676,881.2197875976562
1715585863.8923352,10840,881.4484252929688
1715585869.9864445,10998,866.9459838867188
1715585875.9105527,11147,866.7366333007812
1715585882.4943411,11333,878.035888671875
1715585887.8228743,11454,881.3615112304688
1715585892.7601407,11557,872.3859252929688
1715585898.4062579,11696,874.1945190429688
1715585904.0742116,11847,867.5505981445312
1715585909.0108228,11946,866.6639404296875
1715585914.0813503,12048,848.1767578125
1715585919.987763,12199,843.7477416992188
1715585925.7623076,12340,847.7368774414062
1715585932.3099406,12520,846.1526489257812
1715585937.617751,12636,848.8253784179688
1715585943.769008,12799,856.9815063476562
1715585949.831026,12957,856.1898803710938
1715585958.5040932,13245,883.7999267578125
1715585963.6297545,13360,874.172607421875
1715585970.2834656,13547,875.4373168945312
