Wall time,Step,Value
1713284367.7901888,3000,1610.3621826171875
1713284480.7242455,6000,1565.017333984375
1713284589.7620718,9000,1606.674560546875
1713284701.2018335,12000,1634.3099365234375
1713284813.5583286,15000,1572.4295654296875
1713284924.955711,18000,1595.2197265625
1713285033.3273902,21000,1650.842041015625
1713285144.3322735,24000,1671.3907470703125
1713285253.246537,27000,1738.0013427734375
1713285365.9241822,30000,1745.86962890625
1713285479.6549513,33000,1738.31591796875
1713285593.1262505,36000,1799.0125732421875
1713285708.5875533,39000,1867.2921142578125
1713285823.3434706,42000,1887.6900634765625
1713285938.6652527,45000,1890.2110595703125
1713286054.6785214,48000,1883.7640380859375
1713286170.5088499,51000,1871.60791015625
1713286286.3022804,54000,1866.247802734375
1713286402.2370458,57000,1881.886962890625
1713286519.05321,60000,1874.82763671875
1713286635.6663196,63000,1857.812744140625
1713286751.8351536,66000,1871.385009765625
1713286867.9852617,69000,1887.18212890625
1713286984.0184233,72000,1890.6668701171875
1713287099.6046543,75000,1894.0626220703125
1713287214.873861,78000,1895.6243896484375
1713287330.424491,81000,1894.674560546875
1713287447.337079,84000,1891.958740234375
1713287562.8891246,87000,1889.9859619140625
1713287679.049546,90000,1892.20263671875
1713287796.0273137,93000,1894.923095703125
1713287911.9367437,96000,1892.885498046875
1713288029.1510315,99000,1893.9771728515625
1713288146.4440987,102000,1895.994140625
