mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts
1638.390715,0,0,192,SmartPL,2,2
1653.241765,0,0,192,CoOP,2,2
1549.590715,0,0,192,Plexe,2,2
1662.270895,0.05,0,190,SmartPL,2,3
1664.404325,0.016635191,0,189,CoOP,2,3
1575.520895,0,0,190,Plexe,2,3
1738.63385,0.05,0,182,SmartPL,2,4
1655.522719,11.18364116,0,190.5,CoOP,2,4
1588.263833,72.29040993,0,189,Plexe,2,4
1546.176291,0.551157731,0,201,SmartPL,3,2
1624.75662,28.48514464,0,195,CoOP,3,2
1549.590715,0,0,192,Plexe,3,2
1676.459775,0.1,0,188,SmartPL,3,3
1655.085053,9.335906936,0,191,CoOP,3,3
1574.914036,0.60685915,0,190,Plexe,3,3
1739.2136,0.172867831,0,182,SmartPL,3,4
1608.134563,0,0,196,CoOP,3,4
1515.974455,0.001032688,0,196,Plexe,3,4
1710.204494,0,0,183,SmartPL,4,2
1624.75662,28.48514464,0,195,CoOP,4,2
1519.271821,30.3188936,0,194.5,Plexe,4,2
1684.248298,0.1,0,186,SmartPL,4,3
1655.085053,9.335906936,0,191,CoOP,4,3
1574.307177,0,0,190,Plexe,4,3
1856.971105,1.621785692,0,165,SmartPL,4,4
1691.319445,46.98036734,0,186,CoOP,4,4
1515.973423,0,0,196,Plexe,4,4
